Sorter0,,
ArrayLength,Runtime F,Runtime C
1153,7.98E-04,
1155,7.97E-04,
1157,8.15E-04,
1159,7.87E-04,
1161,7.98E-04,
1163,8.24E-04,
1165,8.20E-04,
1167,8.22E-04,
1169,8.21E-04,
1171,8.25E-04,
1173,8.42E-04,
1175,8.11E-04,
1177,8.51E-04,
1179,8.63E-04,
1181,8.18E-04,
1183,8.19E-04,
1185,8.24E-04,
1187,8.30E-04,
1189,8.10E-04,
1191,8.44E-04,
1193,8.11E-04,
1195,8.20E-04,
1197,8.33E-04,
1199,8.46E-04,
1201,8.41E-04,
1203,8.95E-04,
1205,8.69E-04,
1207,8.38E-04,
1209,8.95E-04,
1211,8.95E-04,
1213,8.64E-04,
1215,8.99E-04,
1217,9.17E-04,
1219,9.07E-04,
1221,9.29E-04,
1223,9.06E-04,
1225,9.48E-04,
1227,9.17E-04,
1229,9.17E-04,
1231,9.26E-04,
1233,9.23E-04,
1235,9.10E-04,
1237,9.38E-04,
1239,9.24E-04,
1241,9.35E-04,
1243,9.22E-04,
1245,9.52E-04,
1247,9.28E-04,
1249,0.001627333,
1251,9.67E-04,
1253,9.54E-04,
1255,9.74E-04,
1257,9.49E-04,
1259,9.07E-04,
1261,9.01E-04,
1263,9.50E-04,
1265,9.80E-04,
1267,9.56E-04,
1269,9.26E-04,
1271,9.85E-04,
1273,9.69E-04,
1275,0.001003166,
1277,9.77E-04,
1279,0.001015666,
1281,9.50E-04,
1283,9.80E-04,
1285,0.001017041,
1287,0.001019,
1289,0.001010583,
1291,0.001020834,
1293,9.93E-04,
1295,9.79E-04,
1297,9.94E-04,
1299,9.76E-04,
1301,9.82E-04,
1303,0.001022542,
1305,0.001011416,
1307,9.93E-04,
1309,0.001035042,
1311,0.001060291,
1313,0.001107792,
1315,0.001036459,
1317,0.001024,
1319,0.001065083,
1321,0.001167209,
1323,0.00115175,
1325,0.001058708,
1327,0.001036083,
1329,0.001100334,
1331,0.001135791,
1333,0.001059916,
1335,0.001064583,
1337,0.001070833,
1339,9.90E-04,
1341,0.001077584,
1343,0.001089375,
1345,0.001084791,
1347,0.001081917,
1349,0.001140042,
1351,0.001090291,
1353,0.001074666,
1355,0.001061292,
1357,0.001085167,
1359,0.001062209,
1361,0.001946,
1363,0.001143042,
1365,0.001148209,
1367,0.001120291,
1369,0.001141,
1371,0.001113334,
1373,0.001148167,
1375,0.001139667,
1377,0.001128917,
1379,0.001136209,
1381,0.001159208,
1383,0.001138292,
1385,0.001161208,
1387,0.001133875,
1389,0.001200084,
1391,0.001186625,
1393,0.001185375,
1395,0.001183917,
1397,0.001163,
1399,0.001120875,
1401,0.001212125,
1403,0.001167416,
1405,0.001244583,
1407,0.001161959,
1409,0.001232958,
1411,0.001189959,
1413,0.001136708,
1415,0.001140958,
1417,0.001176417,
1419,0.001175792,
1421,0.001148209,
1423,0.00117625,
1425,0.001151708,
1427,0.001233042,
1429,0.001219542,
1431,0.001246667,
1433,0.001290584,
1435,0.001249708,
1437,0.001199708,
1439,0.001251459,
1441,0.001249875,
1443,0.001204875,
1445,0.001235541,
1447,0.0012145,
1449,0.001197458,
1451,0.00121575,
1453,0.001257833,
1455,0.00193925,
1457,0.001257375,
1459,0.001289416,
1461,0.00132175,
1463,0.001291,
1465,0.002254667,
1467,0.001268083,
1469,0.001359167,
1471,0.001256542,
1473,0.001304959,
1475,0.001298125,
1477,0.001345417,
1479,0.001323458,
1481,0.001324542,
1483,0.00133325,
1485,0.001328333,
1487,0.001295458,
1489,0.001315791,
1491,0.001328459,
1493,0.00129725,
1495,0.001333666,
1497,0.001376,
1499,0.001358917,
1501,0.00132925,
1503,0.001388833,
1505,0.001382125,
1507,0.001399667,
1509,0.001323917,
1511,0.001362083,
1513,0.001357708,
1515,0.001333959,
1517,0.001378584,
1519,0.001392833,
1521,0.00140275,
1523,0.001410542,
1525,0.00134875,
1527,0.001395458,
1529,0.001424416,
1531,0.001425333,
1533,0.001455791,
1535,0.0014625,
1537,0.001414417,
1539,0.001473334,
1541,0.001425541,
1543,0.001439833,
1545,0.001436,
1547,0.001398333,
1549,0.001445625,
1551,0.001419834,
1553,0.00145925,
1555,0.001460708,
1557,0.0014395,
1559,0.001501708,
1561,0.0014905,
1563,0.001513041,
1565,0.001447875,
1567,0.001383375,
1569,0.001411417,
1571,0.001435458,
1573,0.001411625,
1575,0.001456583,
1577,0.001444041,
1579,0.001486833,
1581,0.001444042,
1583,0.001415709,
1585,0.001452458,
1587,0.001478084,
1589,0.001454958,
1591,0.001496334,
1593,0.001464,
1595,0.001450292,
1597,0.0014775,
1599,0.001500542,
1601,0.001485542,
1603,0.001509958,
1605,0.001466125,
1607,0.001499542,
1609,0.001507292,
1611,0.001482083,
1613,0.001489708,
1615,0.001513042,
1617,0.001540583,
1619,0.001493792,
1621,0.001568042,
1623,0.001538209,
1625,0.001568125,
1627,0.001632334,
1629,0.001520125,
1631,0.001506292,
1633,0.0015465,
1635,0.001570792,
1637,0.001571,
1639,0.001558458,
1641,0.001594875,
1643,0.00155875,
1645,0.001544875,
1647,0.001562583,
1649,0.00156825,
1651,0.001571958,
1653,0.001796333,
1655,0.001571709,
1657,0.001544292,
1659,0.001644375,
1661,0.001577333,
1663,0.001601875,
1665,0.001603125,
1667,0.001545791,
1669,0.001639,
1671,0.001610542,
1673,0.001688125,
1675,0.001730875,
1677,0.001662042,
1679,0.001678125,
1681,0.001657916,
1683,0.00159875,
1685,0.001670625,
1687,0.00168475,
1689,0.001797292,
1691,0.001706167,
1693,0.001676375,
1695,0.001680375,
1697,0.001662542,
1699,0.001685,
1701,0.001698792,
1703,0.001755791,
1705,0.001774458,
1707,0.001788208,
1709,0.001750125,
1711,0.001779,
1713,0.001821125,
1715,0.001795333,
1717,0.001753584,
1719,0.001838959,
1721,0.001805167,
1723,0.001786042,
1725,0.001742875,
1727,0.00167025,
1729,0.001711792,
1731,0.00172275,
1733,0.001681917,
1735,0.001789458,
1737,0.001777792,
1739,0.001806,
1741,0.003239458,
1743,0.00175325,
1745,0.001869875,
1747,0.00182525,
1749,0.001827458,
1751,0.001800875,
1753,0.00182525,
1755,0.00195375,
1757,0.001788583,
1759,0.001836,
1761,0.00182375,
1763,0.0018735,
1765,0.001831709,
1767,0.001879292,
1769,0.001886083,
1771,0.001843542,
1773,0.001872042,
1775,0.00183525,
